tmoptimist,2014-09-20 21:40:51,"RT @Kochavva: South Africa stand with Gaza!!!
#ICheckTheLabel 
#BoycottIsrael 
#FreeGaza
#FreePalestine http://t.co/4xD63Npb2Y"
UnreportedNews1,2014-09-20 21:40:55,Visit of Jordanian lawmakers to Gaza called off due to 'security reasons': Egyptian authorities tel... http://t.co/y0EnrOkgkL #jeruselum
ozzzaydin,2014-09-20 21:40:56,RT @mervegokyar: @ozzzaydin gaza gelme ibragaza gel :-D :-D tamam sustum.
FleetwoodJammy,2014-09-20 21:41:01,RT @iFalasteen: A lovely smile from Gaza... http://t.co/eQsujT1uxT
ElyBahiana,2014-09-20 21:41:06,RT @FRANCE24: Egypt forces shoot Palestinians infiltrating through Gaza tunnel http://t.co/OkAGjXk85P http://t.co/9wq2KlPs91
JOSEGPEYA,2014-09-20 21:41:11,RT @Tarek_Dkrt: Un hombre versus un cobarde. #Gaza #Israel http://t.co/0k42KXptOG
IkePius,2014-09-20 21:41:12,The #ICC haunts Hapless Africans but FAILS to stop Netanyahu's bombing of #GaZA http://t.co/xEHmM72yws
Ironyisfunny8,2014-09-20 21:41:13,#PeaceDay 5 day old Shayma murdered by Israel after Israeli jets destroyed Gaza P.Plant - cutting off her incubator http://t.co/NuRLUlogla
notagentsmith,2014-09-20 21:41:27,"RT @KhaledSafi: ""@iFalasteen: A lovely smile from Gaza... http://t.co/4vK6EKoZD2"""
MENewsFeed,2014-09-20 21:41:38,Officials: Israeli-Palestinian talks to resume in Cairo Wednesday http://t.co/ZzU7lfGJFQ #Gaza
m_zubairi,2014-09-20 21:41:38,"""@iFalasteen: A lovely smile from Gaza... http://t.co/ASol7WJxyw"""
Mambear04,2014-09-20 21:41:43,"RT @IssamSammour: why can't i travel freely ?! Cuz of what ?
Stop collective punishment against ppl of #Gaza #FreeGaza"
_justinastarrad,2014-09-20 21:41:49,nuh play round wid fire ramp wid ih gaza you gonna get wire
